Num,Community Area,2010,"2,000"
1,Rogers Park,"54,991","63,484"
2,West Ridge,"71,942","73,199"
3,Uptown,"56,362","63,551"
4,Lincoln Square,"39,493","44,574"
5,North Center,"31,867","31,895"
6,Lake View,"94,368","94,817"
7,Lincoln Park,"64,116","64,320"
8,Near North Side,"80,484","72,811"
9,Edison Park,"11,187","11,259"
10,Norwood Park,"37,023","37,669"
11,Jefferson Park,"25,448","25,859"
12,Forest Glen,"18,508","18,165"
13,North Park,"17,931","18,514"
14,Albany Park,"51,542","57,655"
15,Portage Park,"64,124","65,340"
16,Irving Park,"53,359","58,643"
17,Dunning,"41,932","42,164"
18,Montclare,"13,426","12,646"
19,Belmont Cragin,"78,743","78,144"
20,Hermosa,"25,010","26,908"
21,Avondale,"39,262","43,083"
22,Logan Square,"73,595","82,715"
23,Humboldt Park,"56,323","65,836"
24,West Town,"81,432","87,435"
25,Austin,"98,514","117,527"
26,West Garfield Park,"18,001","23,019"
27,East Garfield Park,"20,567","20,881"
28,Near West Side,"54,881","46,419"
29,North Lawndale,"35,912","41,768"
30,South Lawndale,"79,288","91,071"
31,Lower West Side,"35,769","44,031"
32,Loop,"29,283","16,388"
33,Near South Side,"21,390","9,509"
34,Armour Square,"13,391","12,032"
35,Douglas,"18,238","26,470"
36,Oakland,"5,918","6,110"
37,Fuller Park,"2,876","3,420"
38,Grand Boulevard,"21,929","28,006"
39,Kenwood,"17,841","18,363"
40,Washington Park,"11,717","14,146"
41,Hyde Park,"25,681","29,920"
42,Woodlawn,"25,983","27,086"
43,South Shore,"49,767","61,556"
44,Chatham,"31,028","37,275"
45,Avalon Park,"10,185","11,147"
46,South Chicago,"31,198","38,596"
47,Burnside,"2,916","3,294"
48,Calumet Heights,"13,812","15,974"
49,Roseland,"44,619","52,723"
50,Pullman,"7,325","8,921"
51,South Deering,"15,109","16,990"
52,East Side,"23,042","23,653"
53,West Pullman,"29,651","36,649"
54,Riverdale,"6,482","9,809"
55,Hegewisch,"9,426","9,781"
56,Garfield Ridge,"34,513","36,101"
57,Archer Heights,"13,393","12,644"
58,Brighton Park,"45,368","44,912"
59,McKinley Park,"15,612","15,962"
60,Bridgeport,"31,977","33,694"
61,New City,"44,377","51,721"
62,West Elsdon,"18,109","15,921"
63,Gage Park,"39,894","39,193"
64,Clearing,"23,139","22,331"
65,West Lawn,"33,355","29,235"
66,Chicago Lawn,"55,628","61,412"
67,West Englewood,"35,505","45,282"
68,Englewood,"30,654","40,222"
69,Greater Grand Crossing,"32,602","38,619"
70,Ashburn,"41,081","39,584"
71,Auburn Gresham,"48,743","55,928"
72,Beverly,"20,034","21,992"
73,Washington Heights,"26,493","29,843"
74,Mount Greenwood,"19,093","18,820"
75,Morgan Park,"22,544","25,226"
76,O'Hare,"12,756","11,956"
77,Edgewater,"56,521","62,198"
